,0,1
524,EMILIN2,APLP2
525,LYZ,GSTO1
526,S100A8,S100A9
527,SLC31A2,NPC2
528,APLP2,LST1
529,RPS3A,RPS2
530,CEBPB,TLR2
531,HLA-DRB1,HLA-DRA
532,NPC2,TGFBI
533,BASP1,RAB31
534,PHC2,LRP1
535,UBC,CST3
536,RPS16,RPS3A
537,ANXA2,TPM4
538,RPL26,RPL27
539,CD68,HLA-DPA1
540,IFI30,SKAP2
541,KLRD1,CD7
542,RPL14,RPS3
543,RPS3,RPS28
544,ATP6V1B2,CYBB
545,MS4A7,KYNU
546,ARPC2,TUBA1B
547,AIF1,CEBPB
548,CD302,CPVL
549,GLUL,CD74
550,RPL15,RPS21
551,NCF2,HLA-DPB1
552,RPL3,RPS6
553,PGK1,LGALS1
554,FTL,LILRB3
555,LAP3,SERPINA1
556,HLA-DPB1,HLA-DRB1
557,RPL7A,RPL35
558,SKAP2,GSN
559,GRN,LGALS3
560,ADGRE2,CPVL
561,CMKLR1,FCGR3A
562,SPI1,LGALS1
563,MFSD1,CTSS
564,CST3,CD302
565,TYROBP,CXXC5
566,RPS8,RPL15
567,EEF1B2,RPL27
568,CAPG,ANXA2
569,SERPINA1,LPCAT2
570,GRN,VCAN
571,S100A11,TPM4
572,PSAP,CD14
573,LST1,HLA-DRB1
574,ALDH2,FGL2
575,HLA-DMB,TNFSF13
576,CXCL16,CD68
577,RPS3,RPS25
578,ANXA2,CD151
579,SAT1,CDKN1A
580,CSF2RA,FCER1G
581,IFITM2,IFITM3
582,RPL29,RPL34
583,GNB4,FCER1G
584,CSTB,C1QA
585,RPS14,RPL27A
586,RPS27,RPL35
587,RPS9,RPL37A
588,RPL24,RPL3
589,RPS15A,RPS18
590,TPT1,RPL34
591,CD74,IGSF6
592,AIF1,IFI30
593,RPL10A,RPL17
594,APLP2,TTYH3
595,SYK,LAIR1
596,CD93,SERPINA1
597,RPLP2,RPL23A
598,RASSF4,TNFAIP2
599,C1QB,CTSL
600,GNB4,TGFBI
601,CTSB,C1QA
602,FCER1G,NAMPT
603,KCTD12,SERPINA1
604,HMOX1,TMEM176B
605,CD68,TYROBP
606,CD14,LGALS3
607,FGL2,MNDA
608,APOE,SERPING1
609,RPS24,RPS12
610,ITGB2,MARCH1
611,CD48,RPL30
612,RPS11,RPS15
613,TYROBP,OAZ1
614,RPS3,RPLP2
615,CD302,CFD
616,SLC8A1,CEBPB
617,IFI30,CD33
618,CD63,RNF130
619,NKG7,DUSP2
620,ATF3,IFI30
621,RPS27,RPS7
622,TMEM176A,AIF1
623,RPL6,RPS15A
624,TIMP1,TYMP
625,TMEM176B,ANXA2
626,S100A11,CD151
627,RPL6,RPS3
628,HLA-DPA1,ZEB2
629,GZMK,CST7
630,FTL,PSAP
631,TYMP,HLA-DPB1
632,RPS15A,RPL19
633,FTL,CD86
634,S100A9,CPVL
635,LAT2,CTSS
636,HCK,CTSD
637,HLA-DPB1,HMOX1
638,HNMT,CST3
639,SPI1,PPT1
640,HLA-DPB1,LY86
641,TPT1,LDHB
642,ANXA2,RAB31
643,TNFSF13,PSAP
644,APOE,PLTP
645,SRGN,ATP6V0B
646,ANXA5,GRN
647,LYZ,CD74
648,ALDH2,SPI1
649,CLEC4A,MAFB
650,RPS6,RPL10
651,CDKN1A,HLA-DPA1
652,CTSH,CYBB
653,HLA-DRA,ATP6V1B2
654,CMTM6,HLA-DRB1
655,B2M,HLA-A
656,FTH1,IFI30
657,RPLP2,RPL18A
658,RPS3,FAU
659,FGL2,LILRB2
660,RPL13,RPL18A
661,LST1,LY86
662,RPL28,RPL15
663,IL18,RAB13
664,FBP1,HLA-DRB1
665,MPEG1,MEF2C
666,HLA-DPB1,SAT1
667,TTYH3,TNFAIP2
668,RPS3,RPS24
669,TMEM176B,TNFSF13B
670,SAMD3,CCL5
671,HLA-DMA,CYBB
672,GRINA,HCK
673,RPL35,RPL27
674,RPL38,RPS14
675,CEBPD,GLUL
676,RPS29,RPL18
677,METRNL,CTSL
678,GNG5,HLA-DPA1
679,RPS25,RPL7A
680,HLA-DRB1,FTH1
681,CD14,HLA-DRB1
682,RPS5,RPL27A
683,RPL15,RPS18
684,LST1,SAT1
685,OPTN,IL32
686,GLUL,PSAP
687,HAVCR2,HLA-DPA1
688,DAPK1,ALDH2
689,LILRB2,LILRB1
690,GLUL,CD86
691,NPC2,MEF2C
692,CD302,LRRC25
693,RAB32,LILRB2
694,CEBPD,LRP1
695,FCGR3A,VAMP5
696,IFI30,TRIB1
697,PLBD1,CD93
698,TIMP1,CST3
699,PSAP,SLC43A2
700,S100A9,CFD
701,SAT1,MGLL
702,ARPC3,HLA-DPA1
703,RPL27A,RPL35A
704,SCIMP,FCGR3A
705,TPT1,NACA
706,GAPDH,RHOA
707,TYROBP,APLP2
708,GSTO1,FTH1
709,RPS29,RPS16
710,CST3,CSF3R
711,DUSP1,PLAUR
712,CD86,SERPINA1
713,TYMP,PLEK
714,CYBRD1,TYROBP
715,FCGR2A,GLA
716,CLEC4A,FCER1G
717,FCGR2A,PDK4
718,RPS27,RPL37A
719,TNFSF13B,PLAUR
720,PTAFR,HMOX1
721,PLXDC2,TNFAIP2
722,IFI30,SLC8A1
723,LYN,TYMP
724,FCGR3A,CTSL
725,HMOX1,CTSH
726,BASP1,CTSS
727,TNFSF13B,MS4A6A
728,RPL9,RPS27A
729,FCER1G,PLEKHO2
730,CDKN1A,TYROBP
731,RPL35A,RPL7A
732,CD8A,IL32
733,CTSS,LAT2
734,NCF2,FTL
735,SLC43A2,GNB4
736,GSTO1,IFI30
737,CSTA,MS4A7
738,RPL15,RPL19
739,RPL34,RPL30
740,RPLP2,RPL14
741,TREM1,IFI30
742,MS4A6A,FCGR2A
743,RPS15A,RPL11
744,RPL13,RPL14
745,GLUL,FMNL2
746,HCK,GNAI2
747,RPL18A,RPL37A
748,SYK,CYBB
749,CLEC7A,MARCH1
750,CSF2RA,ZNF385A
751,TNFSF13B,AIF1
752,FGD4,MNDA
753,IFI30,GLA
754,ATP6V0B,PLXDC2
755,DPYSL2,HLA-DRB1
756,CTSH,LILRB4
757,AIF1,SLC7A7
758,KLRD1,CST7
759,HLA-DRA,MARCH1
760,HLA-DMB,CTSZ
761,HMOX1,LYZ
762,LYZ,SCPEP1
763,GNG5,TYROBP
764,SLC7A7,TNFSF13B
765,C3AR1,GLUL
766,RPL32,PTPRCAP
767,RPL22,RPS21
768,RPL12,RPL35
769,CTSB,FTH1
770,TYROBP,FBP1
771,RPL27,RPS11
772,CLEC12A,ETS2
773,IL2RB,CD8A
774,CYBB,FCGR3A
775,RPL3,RPL17
776,CSTB,IFI30
777,RPL37A,RPL29
778,CD36,IFI30
779,TGFBI,NINJ1
780,RAB31,MGAT1
781,CD14,HMOX1
782,ALDH3B1,TMEM176B
783,RPSA,RPL22
784,HNMT,EPB41L3
785,CMTM6,SAT1
786,TYROBP,DUSP6
787,CD14,LY86
788,RPL37A,RPS5
789,GNAI2,S100A9
790,FCER1G,IFNGR1
791,SWAP70,HLA-DRB1
792,HLA-DRB1,LAP3
793,FAM20A,SERPINA1
794,SERPINA1,CTSB
795,NCF2,TNFAIP2
796,TYMP,LYN
797,FCER1G,CD93
798,CTSB,IFI30
799,SECTM1,FGL2
800,RPS6,RPS15A
801,ARPC3,TYROBP
802,ZFHX3,SPI1
803,RPL29,RPL35A
804,SPI1,CTSD
805,RPLP1,RPS11
806,TIMP2,TNFAIP2
807,SLC11A1,MGAT1
808,UBC,CTSC
809,TPT1,RPL35A
810,RPL19,RPL28
811,ITGB2,PILRA
812,RPS4X,RPL10A
813,CST3,TYMP
814,S100A10,ANXA5
815,PICALM,SPI1
816,RPL11,RPL36
817,RAB32,CD68
