,0,1
496,LYZ,LPCAT2
497,BIRC5,CKS1B
498,CKAP2L,BRCA1
499,HIST1H1B,NCAPH
500,IFITM1,CD27
501,UBA52,RPL5
502,CKAP2L,HMGB3
503,BTG2,ZFP36
504,PILRA,CD163
505,PSMB9,RARRES3
506,CD14,ZNF385A
507,CLEC10A,AIF1
508,PRR5L,NKG7
509,ANXA2,LAMTOR1
510,SERPINA1,CD68
511,CCNB1,STMN1
512,MSN,HLA-A
513,PTTG1,ZWINT
514,CLSPN,ASF1B
515,RALGPS2,CD79A
516,PFN1,CALM1
517,LAT,ACTB
518,RPL5,RPS14
519,FAU,RPS9
520,ESPL1,NCAPG
521,NUSAP1,CENPW
522,KIFC1,DIAPH3
523,SPI1,S100A9
524,KIF20B,ASPM
525,PDIA4,SDF2L1
526,FCRL6,FGFBP2
527,TK1,DEPDC1
528,TROAP,CDCA8
529,BUB1B,DIAPH3
530,KIF15,MKI67
531,LILRA2,LST1
532,SWAP70,TLR10
533,KIF20A,EZH2
534,CD3G,GIMAP5
535,HLA-B,PSME1
536,CENPE,MELK
537,HSBP1,ANXA5
538,DLGAP5,NEK2
539,RPL14,RPL8
540,RPL35A,RPL27A
541,NPC2,SERPING1
542,LILRB2,PLBD1
543,SAPCD2,CDK1
544,CD19,FCER2
545,DAPP1,VPREB3
546,SHCBP1,CLSPN
547,CD3G,RBL2
548,MYL12A,CORO1A
549,SYNGR1,IGFBP7
550,AIF1,VCAN
551,PNOC,POU2AF1
552,PLK1,CIT
553,CTSH,CLIC4
554,LDLRAD3,CPVL
555,ZWINT,DNAJC9
556,GAPDH,HSPD1
557,LGALS1,ANXA1
558,NDC80,HMGB2
559,RAD51,GINS2
560,ANLN,RRM2
561,SRGN,RGS1
562,MCM2,NCAPG
563,TMEM176A,FCGR2A
564,PRDX3,TYMS
565,SWAP70,HLA-DOB
566,MCM3,CDK1
567,PLAUR,TMEM176A
568,RPL35,RPL27
569,RPS21,RPS3
570,WDFY4,ALOX5
571,CDCA5,TK1
572,ABI3,ACTB
573,KIFC1,CDKN3
574,PLBD1,TGFBI
575,RPL10,RPS14
576,NR4A1,ATF3
577,LILRB2,FCN1
578,PAX5,SNX2
579,NKG7,PRF1
580,TOP2A,FOXM1
581,CENPE,PTTG1
582,HLA-DOB,RASGRP3
583,EXO1,TK1
584,BUB1B,CDKN3
585,RPS12,RPL23
586,S100A11,GPX4
587,HLA-DPB1,HLA-DOA
588,CDCA5,H2AFV
589,SMIM14,CD19
590,LGALS1,CTSD
591,BCL2A1,LYZ
592,CD4,SPOCK2
593,UBE2T,CHEK1
594,KIF20A,ANLN
595,FCER1G,MS4A7
596,CD3D,PCED1B
597,FCGR2B,CD79A
598,BIRC5,DTYMK
599,HIST1H1B,SKA3
600,RNF213,ITGAL
601,DEK,ASPM
602,BUB1,SMC2
603,TNFAIP2,SERPINA1
604,PBK,CDC45
605,EEF1B2,RPS19
606,HMGN2,TYMS
607,MS4A7,TYROBP
608,SMC2,GINS2
609,CXCR6,SRGN
610,ACTB,LBR
611,STMN1,UBE2C
612,UBE2T,MELK
613,RPS24,RPL17
614,SIRPG,CD3E
615,CDC6,DIAPH3
616,EIF2S3,RPL32
617,RPL3,RPS18
618,DUSP2,NR4A2
619,FAM156B,FAM156A
620,SPI1,SIRPB1
621,S1PR5,NKG7
622,NUF2,DTL
623,SLC8A1,FCGR1A
624,MNDA,LYZ
625,RPS6,EEF1A1
626,DERL3,MZB1
627,MSN,PYHIN1
628,RPS24,RPL18
629,RPL26,RPL34
630,TXN,GSTP1
631,FANCI,KIF4A
632,RPL17,RPL7A
633,NCAPD2,CCNB2
634,HLA-DPA1,CD19
635,STMN1,FANCI
636,KLRD1,SH2D1B
637,ASPM,GTSE1
638,SH2D1B,NKG7
639,APOBEC3B,NCAPG
640,CPVL,C1QA
641,PKMYT1,PRC1
642,SIGLEC10,LILRB3
643,RPL39,RPS3
644,TNFSF13,CD68
645,RPS17,RPL4
646,RPS19,RPS8
647,ASGR1,S100A9
648,RPL7A,RPL22
649,RPS21,RPS13
650,RPL13,RPL23A
651,AURKB,E2F7
652,IFT57,CD79A
653,CD74,SCIMP
654,RRM2,UBE2C
655,UBE2T,PTTG1
656,HLA-DQB1,HLA-DMB
657,RPS21,RPL6
658,RPS7,RPS15
659,CENPK,CCNA2
660,KIF11,TUBB4B
661,PRF1,ITGAL
662,CXCL16,C5AR1
663,B2M,HLA-B
664,LRRC25,S100A9
665,COBLL1,RALGPS2
666,CST3,CD14
667,CD14,MS4A6A
668,CKAP2L,SKA3
669,CCNB2,KIF15
670,ACTG1,VIM
671,CRIP1,CD3G
672,UBD,CXCL9
673,BLNK,HLA-DQA1
674,RRM2,FANCI
675,TYROBP,SIGLEC7
676,UBE2S,PLK1
677,RPL27,RPS27
678,MS4A7,LRRC25
679,SLC9A3R1,CORO1A
680,SIRPB1,S100A8
681,TPI1,GAPDH
682,FOSB,PPP1R15A
683,MELK,TPX2
684,MAP1A,TPM2
685,IL32,ICOS
686,HLA-A,HAVCR2
687,RPS3A,RPL35
688,WWTR1,SRPX
689,HSPD1,PGK1
690,RPL9,RPL4
691,KIF14,CDK1
692,CD33,RNF130
693,WDFY4,BTK
694,CD22,HLA-DQA1
695,AIF1,CD68
696,ACTB,PSMB9
697,RPL4,RPL37A
698,NCAPD2,KIF14
699,TUBA1C,MELK
700,RPLP0,RPL24
701,KLRD1,SH2D2A
702,MELK,KIF2C
703,EEF1D,RPL5
704,RPS14,RPS6
705,RPL39,RPS13
706,DIAPH3,FEN1
707,LGALS9C,LGALS9B
708,TCL1A,FAM129C
709,RPL6,RPS4X
710,MKI67,MCM7
711,CDKN3,HMGB2
712,CDK1,HIST1H4C
713,WDR76,TYMS
714,RPS14,RPL10
715,RPS10,RPS15A
716,TUBA1B,TPI1
717,RPL29,RPS3
718,SMC4,ZWINT
719,KIF15,KIF22
720,HMGB3,PLK1
721,RPS15,EEF1B2
722,FGR,C5AR1
723,CD86,RAB31
724,SPAG5,KIF20A
725,RPL28,RPS16
726,TUBB,CDCA5
727,CORO1A,GIMAP7
728,RPL24,RPS3
729,RPL11,RPL38
730,KIF4A,DLGAP5
731,HHEX,BCL11A
732,RPS23,RPLP0
733,ANLN,CKS2
734,GZMA,CCL5
735,APOE,PTGR1
736,PABPC1,RPL22
737,IFI30,C1QB
738,RPL13,RPS2
739,ANXA5,LGALS3
740,CDCA8,MKI67
741,LRRC25,SIRPB1
742,PILRA,C1QA
743,PTPRCAP,TRAF3IP3
744,DNMT1,TK1
745,CD3G,CD3D
