,Cluster_0,Cluster_1
2999,W689843_GSM3496321_AB2507_Tumo,W688707_GSM3496318_AB2504_Tumo
3000,W842789_GSM3496358_AB2913_Tumo,W707351_GSM3496340_AB2553_Tumo
3001,W842906_GSM3496359_AB2914_Tumo,WMC0036164_GSM3496373_AB3089_T
3002,WMC222409_GSM3496406_AB3946_Tu,W841866_GSM3496356_AB2911_Tumo
3003,W706170_GSM3496339_AB2549_Tumo,W694014_GSM3496332_AB2518_Tumo
3004,WMC287683_GSM3496416_AB4124_Tu,WMC0035637_GSM3496372_AB3088_T
3005,WMC135342_GSM3496393_AB3719_Tu,WMC250963_GSM3496409_AB4029_Tu
3006,W840438_GSM3496352_AB2907_Tumo,WMC0038794_GSM3496380_AB3096_T
3007,W689193_GSM3496319_AB2505_Tumo,WMC251916_GSM3496411_AB4031_Tu
3008,W837824_GSM3496345_AB2900_Tumo,W844560_GSM3496363_AB2918_Tumo
3009,W684343_GSM3496307_AB2493_Tumo,WMC0032106_GSM3496369_AB3079_T
3010,W685103_GSM3496309_AB2495_Tumo,W691355_GSM3496325_AB2511_Tumo
3011,WMC0106949_GSM3496381_AB3274_T,WMC293817_GSM3496432_AB4140_Tu
3012,W841408_GSM3496355_AB2910_Tumo,WMC295035_GSM3496435_AB4143_Tu
3013,WMC0036610_GSM3496375_AB3091_T,WMC294209_GSM3496433_AB4141_Tu
3014,W687098_GSM3496314_AB2500_Tumo,WMC809193_GSM3496485_AB5491_PB
3015,WMC696601_GSM3496476_AB5198_Tu,W688628_GSM3496318_AB2504_Tumo
3016,WMC286588_GSM3496413_AB4121_Tu,WMC329989_GSM3496441_AB4234_Tu
3017,WMC135377_GSM3496393_AB3719_Tu,WMC329673_GSM3496441_AB4234_Tu
3018,WMC294315_GSM3496434_AB4142_Tu,W841130_GSM3496354_AB2909_Tumo
3019,WMC627900_GSM3496467_AB5019_Tu,WMC627588_GSM3496466_AB5018_Tu
3020,W840260_GSM3496352_AB2907_Tumo,W686746_GSM3496313_AB2499_Tumo
3021,WMC0107284_GSM3496382_AB3275_T,WMC138074_GSM3496395_AB3726_Tu
3022,WMC286653_GSM3496414_AB4122_Tu,WMC626402_GSM3496463_AB5015_Tu
3023,WMC135477_GSM3496393_AB3719_Tu,W544614_GSM3496297_AB2101_Tumo
3024,W688687_GSM3496318_AB2504_Tumo,WMC289101_GSM3496420_AB4128_Tu
3025,WMC0107664_GSM3496383_AB3276_T,WMC221764_GSM3496405_AB3945_Tu
3026,WMC0036548_GSM3496374_AB3090_T,W841214_GSM3496354_AB2909_Tumo
3027,W689394_GSM3496320_AB2506_Tumo,WMC251351_GSM3496410_AB4030_Tu
3028,WMC810097_GSM3496488_AB5494_PB,WMC329821_GSM3496441_AB4234_Tu
3029,WMC0035083_GSM3496371_AB3087_T,WMC0032320_GSM3496369_AB3079_T
3030,W839742_GSM3496350_AB2905_Tumo,WMC0036336_GSM3496374_AB3090_T
3031,WMC627701_GSM3496467_AB5019_Tu,WMC331929_GSM3496446_AB4239_Tu
3032,W703358_GSM3496337_AB2542_Tumo,W843509_GSM3496360_AB2915_Tumo
3033,W683741_GSM3496305_AB2491_Tumo,WMC0037016_GSM3496376_AB3092_T
3034,W703131_GSM3496337_AB2542_Tumo,W689185_GSM3496319_AB2505_Tumo
3035,WMC138276_GSM3496395_AB3726_Tu,W688229_GSM3496317_AB2503_Tumo
3036,WMC0037168_GSM3496376_AB3092_T,WMC331499_GSM3496445_AB4238_Tu
3037,W843291_GSM3496360_AB2915_Tumo,WMC138323_GSM3496395_AB3726_Tu
3038,WMC290488_GSM3496424_AB4132_Tu,WMC137988_GSM3496394_AB3725_Tu
3039,WMC330350_GSM3496442_AB4235_Tu,WMC331688_GSM3496446_AB4239_Tu
3040,W692306_GSM3496327_AB2513_Tumo,W695275_GSM3496335_AB2521_Tumo
3041,WMC626909_GSM3496465_AB5017_Tu,WMC222290_GSM3496406_AB3946_Tu
3042,WMC294388_GSM3496434_AB4142_Tu,W691744_GSM3496326_AB2512_Tumo
3043,WMC0036445_GSM3496374_AB3090_T,W542015_GSM3496290_AB2094_Tumo
3044,W714097_GSM3496341_AB2570_Tumo,W688242_GSM3496317_AB2503_Tumo
3045,WMC328505_GSM3496438_AB4231_Tu,W692445_GSM3496328_AB2514_Tumo
3046,WMC135597_GSM3496393_AB3719_Tu,WMC287059_GSM3496415_AB4123_Tu
3047,W842097_GSM3496356_AB2911_Tumo,W840737_GSM3496353_AB2908_Tumo
3048,WMC626551_GSM3496464_AB5016_Tu,W545672_GSM3496299_AB2103_Tumo
3049,W694436_GSM3496333_AB2519_Tumo,W871746_GSM3496366_AB2989_Tumo
3050,WMC0107005_GSM3496381_AB3274_T,W705988_GSM3496339_AB2549_Tumo
3051,WMC626842_GSM3496464_AB5016_Tu,WMC0031607_GSM3496368_AB3078_T
3052,WMC292546_GSM3496429_AB4137_Tu,WMC0110192_GSM3496389_AB3282_T
3053,WMC135092_GSM3496392_AB3718_Tu,WMC331195_GSM3496445_AB4238_Tu
3054,WMC250810_GSM3496408_AB4028_Tu,WMC331391_GSM3496445_AB4238_Tu
3055,W691287_GSM3496325_AB2511_Tumo,WMC0036355_GSM3496374_AB3090_T
3056,W851634_GSM3496365_AB2936_Tumo,WMC625743_GSM3496462_AB5014_Tu
3057,W687188_GSM3496314_AB2500_Tumo,W544524_GSM3496296_AB2100_Tumo
3058,WMC0031803_GSM3496368_AB3078_T,W544797_GSM3496297_AB2101_Tumo
3059,WMC293719_GSM3496432_AB4140_Tu,W690146_GSM3496322_AB2508_Tumo
3060,WMC294000_GSM3496433_AB4141_Tu,WMC809918_GSM3496487_AB5493_PB
3061,WMC0038110_GSM3496378_AB3094_T,W702760_GSM3496336_AB2541_Tumo
3062,W690682_GSM3496323_AB2509_Tumo,WMC624691_GSM3496459_AB5011_Tu
3063,W714223_GSM3496341_AB2570_Tumo,WMC293729_GSM3496432_AB4140_Tu
3064,W545540_GSM3496299_AB2103_Tumo,WMC134995_GSM3496392_AB3718_Tu
3065,W683805_GSM3496305_AB2491_Tumo,WMC623818_GSM3496457_AB5009_Tu
3066,WMC0031714_GSM3496368_AB3078_T,WMC809710_GSM3496487_AB5493_PB
3067,WMC251068_GSM3496409_AB4029_Tu,WMC286279_GSM3496413_AB4121_Tu
3068,W685462_GSM3496310_AB2496_Tumo,W844906_GSM3496364_AB2919_Tumo
3069,WMC624651_GSM3496459_AB5011_Tu,W871932_GSM3496366_AB2989_Tumo
3070,WMC0036699_GSM3496375_AB3091_T,W463677_GSM3496287_AB1891_Tumo
3071,W691201_GSM3496324_AB2510_Tumo,W694202_GSM3496332_AB2518_Tumo
3072,WMC624632_GSM3496459_AB5011_Tu,WMC329328_GSM3496440_AB4233_Tu
3073,W703017_GSM3496336_AB2541_Tumo,W842835_GSM3496358_AB2913_Tumo
3074,W842540_GSM3496358_AB2913_Tumo,W703586_GSM3496338_AB2543_Tumo
3075,WMC288768_GSM3496419_AB4127_Tu,WMC331821_GSM3496446_AB4239_Tu
3076,WMC379341_GSM3496451_AB4363_PB,W843402_GSM3496360_AB2915_Tumo
3077,W543369_GSM3496293_AB2097_Tumo,WMC329780_GSM3496441_AB4234_Tu
3078,WMC379374_GSM3496451_AB4363_PB,W703140_GSM3496337_AB2542_Tumo
3079,W714089_GSM3496341_AB2570_Tumo,W842507_GSM3496357_AB2912_Tumo
3080,WMC149234_GSM3496396_AB3755_Tu,WMC0036339_GSM3496374_AB3090_T
3081,W840549_GSM3496352_AB2907_Tumo,W844320_GSM3496362_AB2917_Tumo
3082,WMC0038212_GSM3496379_AB3095_T,WMC250627_GSM3496408_AB4028_Tu
3083,WMC286893_GSM3496414_AB4122_Tu,WMC330645_GSM3496443_AB4236_Tu
3084,WMC251021_GSM3496409_AB4029_Tu,W714204_GSM3496341_AB2570_Tumo
3085,WMC379805_GSM3496452_AB4364_PB,W685480_GSM3496310_AB2496_Tumo
3086,WMC286825_GSM3496414_AB4122_Tu,WMC149250_GSM3496396_AB3755_Tu
3087,WMC380005_GSM3496453_AB4365_PB,W840958_GSM3496353_AB2908_Tumo
3088,WMC288295_GSM3496418_AB4126_Tu,WMC0038150_GSM3496379_AB3095_T
3089,WMC288507_GSM3496418_AB4126_Tu,WMC329044_GSM3496439_AB4232_Tu
3090,WMC331496_GSM3496445_AB4238_Tu,W841719_GSM3496355_AB2910_Tumo
3091,W839709_GSM3496350_AB2905_Tumo,WMC328946_GSM3496439_AB4232_Tu
3092,W844071_GSM3496362_AB2917_Tumo,WMC0109869_GSM3496388_AB3281_T
3093,W841713_GSM3496355_AB2910_Tumo,W463632_GSM3496287_AB1891_Tumo
3094,WMC0031765_GSM3496368_AB3078_T,W871765_GSM3496366_AB2989_Tumo
3095,WMC0037034_GSM3496376_AB3092_T,WMC625617_GSM3496461_AB5013_Tu
3096,WMC251560_GSM3496410_AB4030_Tu,WMC251141_GSM3496409_AB4029_Tu
3097,WMC623589_GSM3496456_AB5008_Tu,W690989_GSM3496324_AB2510_Tumo
3098,W543763_GSM3496295_AB2099_Tumo,W871776_GSM3496366_AB2989_Tumo
3099,WMC380162_GSM3496453_AB4365_PB,W702924_GSM3496336_AB2541_Tumo
3100,W843217_GSM3496359_AB2914_Tumo,WMC329657_GSM3496441_AB4234_Tu
3101,WMC327941_GSM3496436_AB4229_Tu,WMC0036608_GSM3496375_AB3091_T
3102,W702775_GSM3496336_AB2541_Tumo,WMC0109204_GSM3496387_AB3280_T
3103,WMC0031672_GSM3496368_AB3078_T,WMC149484_GSM3496396_AB3755_Tu
3104,W690445_GSM3496322_AB2508_Tumo,W871837_GSM3496366_AB2989_Tumo
3105,WMC380840_GSM3496455_AB4367_PB,WMC0035915_GSM3496373_AB3089_T
3106,W703156_GSM3496337_AB2542_Tumo,WMC331137_GSM3496444_AB4237_Tu
3107,WMC785251_GSM3496483_AB5429_PB,W703681_GSM3496338_AB2543_Tumo
3108,W687517_GSM3496315_AB2501_Tumo,W690635_GSM3496323_AB2509_Tumo
3109,WMC784241_GSM3496480_AB5426_PB,WMC0036435_GSM3496374_AB3090_T
3110,W462045_GSM3496285_AB1889_Tumo,WMC251164_GSM3496409_AB4029_Tu
3111,WMC809626_GSM3496486_AB5492_PB,WMC329304_GSM3496440_AB4233_Tu
3112,W688666_GSM3496318_AB2504_Tumo,WMC293816_GSM3496432_AB4140_Tu
3113,WMC135257_GSM3496392_AB3718_Tu,WMC696407_GSM3496476_AB5198_Tu
3114,W692578_GSM3496328_AB2514_Tumo,WMC288071_GSM3496417_AB4125_Tu
3115,W840397_GSM3496352_AB2907_Tumo,W688237_GSM3496317_AB2503_Tumo
3116,WMC784122_GSM3496480_AB5426_PB,WMC0110735_GSM3496391_AB3284_T
3117,W686938_GSM3496313_AB2499_Tumo,W689905_GSM3496321_AB2507_Tumo
3118,WMC293192_GSM3496431_AB4139_Tu,W541661_GSM3496289_AB2093_Tumo
3119,WMC694811_GSM3496471_AB5193_Tu,W694915_GSM3496334_AB2520_Tumo
3120,W703057_GSM3496336_AB2541_Tumo,W693870_GSM3496331_AB2517_Tumo
3121,WMC626459_GSM3496463_AB5015_Tu,WMC0031758_GSM3496368_AB3078_T
3122,WMC627907_GSM3496467_AB5019_Tu,WMC331854_GSM3496446_AB4239_Tu
3123,WMC626052_GSM3496462_AB5014_Tu,W462253_GSM3496285_AB1889_Tumo
3124,W685102_GSM3496309_AB2495_Tumo,W714108_GSM3496341_AB2570_Tumo
3125,W686799_GSM3496313_AB2499_Tumo,W542774_GSM3496292_AB2096_Tumo
3126,W689875_GSM3496321_AB2507_Tumo,WMC327872_GSM3496436_AB4229_Tu
3127,WMC251769_GSM3496411_AB4031_Tu,WMC222114_GSM3496406_AB3946_Tu
3128,WMC294495_GSM3496434_AB4142_Tu,W464455_GSM3496288_AB1892_Tumo
3129,W707650_GSM3496340_AB2553_Tumo,W688736_GSM3496318_AB2504_Tumo
3130,W693957_GSM3496332_AB2518_Tumo,W542728_GSM3496292_AB2096_Tumo
3131,W703875_GSM3496338_AB2543_Tumo,W841983_GSM3496356_AB2911_Tumo
3132,WMC623622_GSM3496456_AB5008_Tu,W692592_GSM3496328_AB2514_Tumo
3133,W690493_GSM3496323_AB2509_Tumo,WMC627218_GSM3496465_AB5017_Tu
3134,W703367_GSM3496337_AB2542_Tumo,WMC330953_GSM3496444_AB4237_Tu
3135,WMC222441_GSM3496406_AB3946_Tu,WMC0107340_GSM3496382_AB3275_T
3136,WMC293320_GSM3496431_AB4139_Tu,WMC294396_GSM3496434_AB4142_Tu
3137,WMC626732_GSM3496464_AB5016_Tu,W841215_GSM3496354_AB2909_Tumo
3138,W545816_GSM3496300_AB2104_Tumo,WMC0038322_GSM3496379_AB3095_T
3139,W545071_GSM3496298_AB2102_Tumo,WMC220192_GSM3496400_AB3940_Tu
3140,WMC250996_GSM3496409_AB4029_Tu,W694204_GSM3496332_AB2518_Tumo
3141,WMC293224_GSM3496431_AB4139_Tu,W694704_GSM3496334_AB2520_Tumo
3142,WMC0110092_GSM3496389_AB3282_T,W842309_GSM3496357_AB2912_Tumo
3143,W685794_GSM3496310_AB2496_Tumo,WMC286944_GSM3496414_AB4122_Tu
3144,WMC287333_GSM3496415_AB4123_Tu,WMC0037635_GSM3496377_AB3093_T
3145,WMC0031774_GSM3496368_AB3078_T,WMC0038718_GSM3496380_AB3096_T
3146,W842122_GSM3496356_AB2911_Tumo,WMC288565_GSM3496419_AB4127_Tu
3147,W692609_GSM3496328_AB2514_Tumo,W844042_GSM3496361_AB2916_Tumo
3148,W706039_GSM3496339_AB2549_Tumo,W695360_GSM3496335_AB2521_Tumo
3149,W543562_GSM3496294_AB2098_Tumo,WMC149243_GSM3496396_AB3755_Tu
3150,W705852_GSM3496339_AB2549_Tumo,WMC625073_GSM3496460_AB5012_Tu
3151,W844029_GSM3496361_AB2916_Tumo,W463710_GSM3496287_AB1891_Tumo
3152,WMC0037687_GSM3496377_AB3093_T,WMC252109_GSM3496412_AB4032_Tu
3153,WMC695182_GSM3496472_AB5194_Tu,WMC331664_GSM3496446_AB4239_Tu
3154,W685544_GSM3496310_AB2496_Tumo,WMC292063_GSM3496428_AB4136_Tu
3155,WMC625004_GSM3496460_AB5012_Tu,W692619_GSM3496328_AB2514_Tumo
3156,W694007_GSM3496332_AB2518_Tumo,W688619_GSM3496318_AB2504_Tumo
3157,W687498_GSM3496315_AB2501_Tumo,W464591_GSM3496288_AB1892_Tumo
3158,W542587_GSM3496291_AB2095_Tumo,WMC294453_GSM3496434_AB4142_Tu
3159,W542237_GSM3496291_AB2095_Tumo,WMC292446_GSM3496429_AB4137_Tu
3160,WMC135224_GSM3496392_AB3718_Tu,W839923_GSM3496351_AB2906_Tumo
3161,WMC380681_GSM3496454_AB4366_PB,W840485_GSM3496352_AB2907_Tumo
3162,WMC149440_GSM3496396_AB3755_Tu,W544768_GSM3496297_AB2101_Tumo
3163,W692586_GSM3496328_AB2514_Tumo,W545724_GSM3496300_AB2104_Tumo
3164,WMC221752_GSM3496405_AB3945_Tu,WMC219253_GSM3496398_AB3938_Tu
3165,WMC0036343_GSM3496374_AB3090_T,W715627_GSM3496342_AB2574_Tumo
3166,WMC0031926_GSM3496368_AB3078_T,W541491_GSM3496289_AB2093_Tumo
3167,W543916_GSM3496295_AB2099_Tumo,WMC293899_GSM3496432_AB4140_Tu
3168,WMC218788_GSM3496397_AB3937_Tu,WMC329643_GSM3496441_AB4234_Tu
3169,WMC330462_GSM3496443_AB4236_Tu,W693001_GSM3496329_AB2515_Tumo
3170,WMC625532_GSM3496461_AB5013_Tu,W694197_GSM3496332_AB2518_Tumo
3171,W693453_GSM3496330_AB2516_Tumo,W840988_GSM3496354_AB2909_Tumo
3172,WMC808697_GSM3496484_AB5490_PB,W703445_GSM3496337_AB2542_Tumo
3173,WMC623477_GSM3496456_AB5008_Tu,W843771_GSM3496361_AB2916_Tumo
3174,WMC0035215_GSM3496371_AB3087_T,WMC292512_GSM3496429_AB4137_Tu
3175,W687515_GSM3496315_AB2501_Tumo,WMC135375_GSM3496393_AB3719_Tu
3176,WMC810379_GSM3496488_AB5494_PB,W713957_GSM3496341_AB2570_Tumo
3177,WMC222252_GSM3496406_AB3946_Tu,WMC0036095_GSM3496373_AB3089_T
3178,WMC219039_GSM3496397_AB3937_Tu,W694974_GSM3496334_AB2520_Tumo
3179,W686144_GSM3496311_AB2497_Tumo,WMC290361_GSM3496423_AB4131_Tu
3180,WMC0031904_GSM3496368_AB3078_T,WMC809216_GSM3496485_AB5491_PB
3181,WMC380191_GSM3496453_AB4365_PB,WMC331372_GSM3496445_AB4238_Tu
3182,WMC135098_GSM3496392_AB3718_Tu,WMC0035804_GSM3496372_AB3088_T
3183,W703151_GSM3496337_AB2542_Tumo,W693399_GSM3496330_AB2516_Tumo
3184,WMC250785_GSM3496408_AB4028_Tu,WMC626420_GSM3496463_AB5015_Tu
3185,W462078_GSM3496285_AB1889_Tumo,WMC0036432_GSM3496374_AB3090_T
3186,WMC137955_GSM3496394_AB3725_Tu,WMC0032095_GSM3496369_AB3079_T
3187,W705828_GSM3496339_AB2549_Tumo,WMC627012_GSM3496465_AB5017_Tu
3188,WMC289955_GSM3496422_AB4130_Tu,WMC293960_GSM3496433_AB4141_Tu
3189,W692397_GSM3496328_AB2514_Tumo,WMC381021_GSM3496455_AB4367_PB
3190,WMC330896_GSM3496444_AB4237_Tu,WMC624860_GSM3496459_AB5011_Tu
3191,WMC292225_GSM3496428_AB4136_Tu,W694593_GSM3496333_AB2519_Tumo
3192,W687433_GSM3496315_AB2501_Tumo,WMC331463_GSM3496445_AB4238_Tu
3193,W545768_GSM3496300_AB2104_Tumo,W689294_GSM3496319_AB2505_Tumo
3194,WMC327911_GSM3496436_AB4229_Tu,WMC329057_GSM3496439_AB4232_Tu
3195,W693533_GSM3496331_AB2517_Tumo,W703279_GSM3496337_AB2542_Tumo
3196,W838314_GSM3496347_AB2902_Tumo,WMC0034816_GSM3496370_AB3086_T
3197,WMC287841_GSM3496417_AB4125_Tu,WMC138368_GSM3496395_AB3726_Tu
3198,WMC293490_GSM3496431_AB4139_Tu,W542415_GSM3496291_AB2095_Tumo
3199,W845138_GSM3496364_AB2919_Tumo,WMC329666_GSM3496441_AB4234_Tu
3200,WMC810399_GSM3496488_AB5494_PB,WMC0107596_GSM3496382_AB3275_T
3201,W841942_GSM3496356_AB2911_Tumo,WMC0036639_GSM3496375_AB3091_T
3202,WMC291007_GSM3496425_AB4133_Tu,W837783_GSM3496345_AB2900_Tumo
3203,W689525_GSM3496320_AB2506_Tumo,W840009_GSM3496351_AB2906_Tumo
3204,W714252_GSM3496341_AB2570_Tumo,W687525_GSM3496315_AB2501_Tumo
3205,WMC251571_GSM3496410_AB4030_Tu,WMC329320_GSM3496440_AB4233_Tu
3206,WMC0035069_GSM3496371_AB3087_T,WMC810203_GSM3496488_AB5494_PB
3207,WMC0038051_GSM3496378_AB3094_T,WMC379952_GSM3496453_AB4365_PB
3208,WMC0034863_GSM3496370_AB3086_T,W844603_GSM3496363_AB2918_Tumo
3209,W545651_GSM3496299_AB2103_Tumo,W841606_GSM3496355_AB2910_Tumo
3210,WMC0038121_GSM3496378_AB3094_T,WMC809670_GSM3496487_AB5493_PB
3211,W705855_GSM3496339_AB2549_Tumo,W871705_GSM3496366_AB2989_Tumo
3212,WMC623691_GSM3496456_AB5008_Tu,W845175_GSM3496364_AB2919_Tumo
3213,W839251_GSM3496349_AB2904_Tumo,WMC219492_GSM3496399_AB3939_Tu
3214,WMC0036301_GSM3496374_AB3090_T,WMC222109_GSM3496405_AB3945_Tu
3215,WMC327913_GSM3496436_AB4229_Tu,WMC0108678_GSM3496385_AB3278_T
3216,WMC294331_GSM3496434_AB4142_Tu,W694507_GSM3496333_AB2519_Tumo
3217,WMC251179_GSM3496409_AB4029_Tu,W686229_GSM3496312_AB2498_Tumo
3218,W686890_GSM3496313_AB2499_Tumo,WMC627806_GSM3496467_AB5019_Tu
3219,WMC250189_GSM3496407_AB4027_Tu,W694144_GSM3496332_AB2518_Tumo
3220,WMC379025_GSM3496450_AB4362_PB,W691317_GSM3496325_AB2511_Tumo
3221,WMC0036485_GSM3496374_AB3090_T,WMC331479_GSM3496445_AB4238_Tu
3222,WMC623908_GSM3496457_AB5009_Tu,W691661_GSM3496326_AB2512_Tumo
3223,WMC293232_GSM3496431_AB4139_Tu,WMC287178_GSM3496415_AB4123_Tu
3224,WMC625747_GSM3496462_AB5014_Tu,W840402_GSM3496352_AB2907_Tumo
3225,WMC627125_GSM3496465_AB5017_Tu,WMC329838_GSM3496441_AB4234_Tu
3226,W685237_GSM3496309_AB2495_Tumo,W703347_GSM3496337_AB2542_Tumo
3227,WMC0035848_GSM3496373_AB3089_T,WMC289579_GSM3496421_AB4129_Tu
3228,W688444_GSM3496317_AB2503_Tumo,W463719_GSM3496287_AB1891_Tumo
3229,WMC286743_GSM3496414_AB4122_Tu,W872208_GSM3496367_AB2990_Tumo
3230,WMC810185_GSM3496488_AB5494_PB,WMC331815_GSM3496446_AB4239_Tu
3231,WMC0108319_GSM3496384_AB3277_T,W872199_GSM3496367_AB2990_Tumo
3232,WMC328805_GSM3496438_AB4231_Tu,W687694_GSM3496315_AB2501_Tumo
3233,WMC809526_GSM3496486_AB5492_PB,W841817_GSM3496356_AB2911_Tumo
3234,WMC380170_GSM3496453_AB4365_PB,W871952_GSM3496366_AB2989_Tumo
3235,W687054_GSM3496314_AB2500_Tumo,WMC328913_GSM3496439_AB4232_Tu
3236,WMC696893_GSM3496477_AB5199_Tu,WMC0035110_GSM3496371_AB3087_T
3237,WMC809143_GSM3496485_AB5491_PB,W841101_GSM3496354_AB2909_Tumo
3238,WMC289728_GSM3496422_AB4130_Tu,WMC0038446_GSM3496379_AB3095_T
3239,W689728_GSM3496321_AB2507_Tumo,WMC0034782_GSM3496370_AB3086_T
3240,WMC222321_GSM3496406_AB3946_Tu,W688208_GSM3496317_AB2503_Tumo
3241,W693230_GSM3496330_AB2516_Tumo,W683933_GSM3496306_AB2492_Tumo
3242,W541920_GSM3496290_AB2094_Tumo,W683770_GSM3496305_AB2491_Tumo
3243,W842410_GSM3496357_AB2912_Tumo,W840790_GSM3496353_AB2908_Tumo
3244,WMC294072_GSM3496433_AB4141_Tu,WMC379590_GSM3496452_AB4364_PB
3245,W705999_GSM3496339_AB2549_Tumo,W688128_GSM3496316_AB2502_Tumo
3246,WMC252009_GSM3496411_AB4031_Tu,WMC627744_GSM3496467_AB5019_Tu
3247,WMC288310_GSM3496418_AB4126_Tu,WMC222257_GSM3496406_AB3946_Tu
3248,W851625_GSM3496365_AB2936_Tumo,W840511_GSM3496352_AB2907_Tumo
3249,W543720_GSM3496294_AB2098_Tumo,WMC0031655_GSM3496368_AB3078_T
3250,WMC287956_GSM3496417_AB4125_Tu,W703288_GSM3496337_AB2542_Tumo
3251,W689873_GSM3496321_AB2507_Tumo,WMC218855_GSM3496397_AB3937_Tu
3252,WMC380922_GSM3496455_AB4367_PB,WMC329888_GSM3496441_AB4234_Tu
3253,WMC328386_GSM3496437_AB4230_Tu,WMC222413_GSM3496406_AB3946_Tu
3254,WMC0031638_GSM3496368_AB3078_T,W688753_GSM3496318_AB2504_Tumo
3255,W841695_GSM3496355_AB2910_Tumo,W694022_GSM3496332_AB2518_Tumo
3256,WMC219282_GSM3496398_AB3938_Tu,WMC625685_GSM3496461_AB5013_Tu
3257,W544263_GSM3496296_AB2100_Tumo,W714132_GSM3496341_AB2570_Tumo
3258,W872237_GSM3496367_AB2990_Tumo,WMC288585_GSM3496419_AB4127_Tu
3259,WMC0037868_GSM3496378_AB3094_T,W686841_GSM3496313_AB2499_Tumo
3260,WMC0106996_GSM3496381_AB3274_T,W843502_GSM3496360_AB2915_Tumo
3261,W690642_GSM3496323_AB2509_Tumo,WMC219074_GSM3496398_AB3938_Tu
3262,WMC251049_GSM3496409_AB4029_Tu,WMC331654_GSM3496446_AB4239_Tu
3263,WMC0110450_GSM3496390_AB3283_T,W689311_GSM3496320_AB2506_Tumo
3264,WMC251359_GSM3496410_AB4030_Tu,WMC331721_GSM3496446_AB4239_Tu
3265,WMC292844_GSM3496430_AB4138_Tu,W851379_GSM3496365_AB2936_Tumo
3266,WMC0035203_GSM3496371_AB3087_T,WMC137934_GSM3496394_AB3725_Tu
3267,WMC626576_GSM3496464_AB5016_Tu,WMC149341_GSM3496396_AB3755_Tu
3268,WMC138398_GSM3496395_AB3726_Tu,W463629_GSM3496287_AB1891_Tumo
3269,W715578_GSM3496342_AB2574_Tumo,W872462_GSM3496367_AB2990_Tumo
3270,WMC287615_GSM3496416_AB4124_Tu,WMC289694_GSM3496421_AB4129_Tu
3271,W689131_GSM3496319_AB2505_Tumo,WMC329728_GSM3496441_AB4234_Tu
3272,W694521_GSM3496333_AB2519_Tumo,WMC329261_GSM3496440_AB4233_Tu
3273,WMC0037166_GSM3496376_AB3092_T,WMC331259_GSM3496445_AB4238_Tu
3274,WMC149490_GSM3496396_AB3755_Tu,WMC149459_GSM3496396_AB3755_Tu
3275,WMC0109254_GSM3496387_AB3280_T,WMC0107263_GSM3496382_AB3275_T
3276,WMC0036514_GSM3496374_AB3090_T,WMC291084_GSM3496425_AB4133_Tu
3277,WMC287322_GSM3496415_AB4123_Tu,WMC809091_GSM3496485_AB5491_PB
3278,W690733_GSM3496323_AB2509_Tumo,W684586_GSM3496307_AB2493_Tumo
3279,W839266_GSM3496349_AB2904_Tumo,W464639_GSM3496288_AB1892_Tumo
3280,WMC0035526_GSM3496372_AB3088_T,WMC287930_GSM3496417_AB4125_Tu
3281,WMC0108551_GSM3496385_AB3278_T,WMC288560_GSM3496419_AB4127_Tu
3282,WMC219174_GSM3496398_AB3938_Tu,WMC331244_GSM3496445_AB4238_Tu
3283,W683571_GSM3496305_AB2491_Tumo,WMC0110945_GSM3496391_AB3284_T
3284,W685594_GSM3496310_AB2496_Tumo,WMC328771_GSM3496438_AB4231_Tu
3285,WMC290289_GSM3496423_AB4131_Tu,W871732_GSM3496366_AB2989_Tumo
3286,WMC290265_GSM3496423_AB4131_Tu,WMC328176_GSM3496437_AB4230_Tu
3287,WMC220484_GSM3496401_AB3941_Tu,W843806_GSM3496361_AB2916_Tumo
3288,WMC784134_GSM3496480_AB5426_PB,WMC149269_GSM3496396_AB3755_Tu
3289,WMC293013_GSM3496430_AB4138_Tu,W463716_GSM3496287_AB1891_Tumo
3290,W844921_GSM3496364_AB2919_Tumo,WMC331876_GSM3496446_AB4239_Tu
3291,WMC292857_GSM3496430_AB4138_Tu,WMC0035951_GSM3496373_AB3089_T
3292,W840081_GSM3496351_AB2906_Tumo,WMC0038896_GSM3496380_AB3096_T
3293,WMC291542_GSM3496426_AB4134_Tu,WMC291050_GSM3496425_AB4133_Tu
3294,WMC135123_GSM3496392_AB3718_Tu,WMC0038221_GSM3496379_AB3095_T
3295,WMC294641_GSM3496434_AB4142_Tu,W841821_GSM3496356_AB2911_Tumo
3296,W839515_GSM3496350_AB2905_Tumo,WMC329217_GSM3496439_AB4232_Tu
3297,WMC0110035_GSM3496389_AB3282_T,WMC329049_GSM3496439_AB4232_Tu
3298,WMC288439_GSM3496418_AB4126_Tu,W841637_GSM3496355_AB2910_Tumo
3299,WMC0108966_GSM3496386_AB3279_T,WMC330723_GSM3496443_AB4236_Tu
3300,W714224_GSM3496341_AB2570_Tumo,W872145_GSM3496367_AB2990_Tumo
3301,W689890_GSM3496321_AB2507_Tumo,WMC328360_GSM3496437_AB4230_Tu
3302,WMC379788_GSM3496452_AB4364_PB,W684306_GSM3496307_AB2493_Tumo
3303,W707648_GSM3496340_AB2553_Tumo,W543311_GSM3496293_AB2097_Tumo
