,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.1,seurat_clusters,assign.ident,assign.score,Amp_batch,source,patient,assign.CIBERSORT,assign.curated,assign.level3_anno,assign.level1_anno
W691560_GSM3496325_AB2511_Tumo,0,2556.0,989,5,5,Mono/Macro,3.5403363819401705,40,1,24,Mono/Macro,Mono/Macro,M1,0
WMC331933_GSM3496446_AB4239_Tu,0,5716.0,2015,5,5,Mono/Macro,3.5403363819401705,161,1,26,Mono/Macro,Mono/Macro,M1,0
W689359_GSM3496320_AB2506_Tumo,0,3104.0,1150,1,1,CD8Tex,4.089338694095589,35,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC329128_GSM3496439_AB4232_Tu,0,2762.0,1255,5,5,Mono/Macro,3.5403363819401705,154,1,26,Mono/Macro,Mono/Macro,M1,0
WMC379789_GSM3496452_AB4364_PB,0,2107.0,752,2,2,B,4.4137903050582095,167,0,5,B,B,B,0
WMC286295_GSM3496413_AB4121_Tu,0,1997.0,781,0,0,CD8Tex,3.0066744286892493,128,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC0036552_GSM3496374_AB3090_T,0,2289.0,979,13,13,B,1.9443252866230427,89,1,29,B,pDC,pDC,0
W840691_GSM3496353_AB2908_Tumo,0,5770.0,802,12,12,Plasma,2.8827375079550275,68,1,28,Plasma,Plasma,Plasma,0
WMC286614_GSM3496413_AB4121_Tu,0,1302.0,521,0,0,CD8Tex,3.0066744286892493,128,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC0035021_GSM3496370_AB3086_T,0,1626.0,698,3,3,CD4Tconv,1.0945560605446019,85,1,29,CD4Tconv,CD4Tconv,CD4Tnaive,0
W687803_GSM3496316_AB2502_Tumo,0,2045.0,663,3,3,CD4Tconv,1.0945560605446019,31,1,6,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC289561_GSM3496421_AB4129_Tu,0,3846.0,1256,1,1,CD8Tex,4.089338694095589,136,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC135080_GSM3496392_AB3718_Tu,0,3320.0,852,3,3,CD4Tconv,1.0945560605446019,107,1,15,CD4Tconv,CD4Tconv,CD4Tnaive,0
W707549_GSM3496340_AB2553_Tumo,0,2684.0,1054,7,7,Mono/Macro,4.5137206227938425,55,1,4,Mono/Macro,Mono/Macro,Monocyte,0
W840372_GSM3496352_AB2907_Tumo,0,1008.0,511,9,9,TMKI67,2.1419943291597425,67,1,28,TMKI67,TMKI67,TMKI67,0
WMC294421_GSM3496434_AB4142_Tu,0,1378.0,682,8,8,CD8Tex,2.3728707457939557,149,1,17,CD8Tex,CD8Tex,CD8Tex,0
WMC0031652_GSM3496368_AB3078_T,0,1267.0,557,8,8,CD8Tex,2.3728707457939557,83,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC251659_GSM3496410_AB4030_Tu,0,2057.0,918,4,4,Mono/Macro,5.045165456293893,125,1,18,Mono/Macro,Mono/Macro,Monocyte,0
W692763_GSM3496329_AB2515_Tumo,0,1914.0,743,6,6,CD8Tex,3.0350785138802134,44,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC0035405_GSM3496371_AB3087_T,0,1870.0,872,0,0,CD8Tex,3.0066744286892493,86,1,29,CD8Tex,CD8Tex,CD8Tex,0
W703508_GSM3496338_AB2543_Tumo,0,1547.0,651,9,9,TMKI67,2.1419943291597425,53,1,3,TMKI67,TMKI67,TMKI67,0
WMC0037869_GSM3496378_AB3094_T,0,1194.0,601,1,1,CD8Tex,4.089338694095589,93,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC0035154_GSM3496371_AB3087_T,0,1270.0,529,3,3,CD4Tconv,1.0945560605446019,86,1,29,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC0037497_GSM3496377_AB3093_T,0,4798.0,1678,11,11,pDC,2.9395231999772227,92,1,29,pDC,DC,DC,0
W544148_GSM3496296_AB2100_Tumo,0,1391.0,664,3,3,CD4Tconv,1.0945560605446019,11,1,2,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC292902_GSM3496430_AB4138_Tu,0,1209.0,662,2,2,B,4.4137903050582095,145,1,17,B,B,B,0
W851411_GSM3496365_AB2936_Tumo,0,6705.0,1908,11,11,pDC,2.9395231999772227,80,1,12,pDC,DC,DC,0
WMC0031754_GSM3496368_AB3078_T,0,5513.0,1892,10,10,TMKI67,3.9990709402858386,83,1,29,TMKI67,TMKI67,TMKI67,0
W703635_GSM3496338_AB2543_Tumo,0,1498.0,643,0,0,CD8Tex,3.0066744286892493,53,1,3,CD8Tex,CD8Tex,CD8Tex,0
W543319_GSM3496293_AB2097_Tumo,0,1877.0,912,1,1,CD8Tex,4.089338694095589,8,1,14,CD8Tex,CD8Tex,CD8Tex,0
W687969_GSM3496316_AB2502_Tumo,0,2078.0,916,0,0,CD8Tex,3.0066744286892493,31,1,6,CD8Tex,CD8Tex,CD8Tex,0
WMC0036252_GSM3496374_AB3090_T,0,8365.0,1838,15,15,Plasma,2.2459200087458866,89,1,29,Plasma,Plasma,Plasma,0
WMC252099_GSM3496412_AB4032_Tu,0,6469.0,1752,4,4,Mono/Macro,5.045165456293893,127,1,18,Mono/Macro,Mono/Macro,Monocyte,0
WMC331840_GSM3496446_AB4239_Tu,0,5572.0,1858,5,5,Mono/Macro,3.5403363819401705,161,1,26,Mono/Macro,Mono/Macro,M1,0
W691883_GSM3496326_AB2512_Tumo,0,1991.0,813,1,1,CD8Tex,4.089338694095589,41,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC252147_GSM3496412_AB4032_Tu,0,3969.0,1276,4,4,Mono/Macro,5.045165456293893,127,1,18,Mono/Macro,Mono/Macro,Monocyte,0
W688311_GSM3496317_AB2503_Tumo,0,1866.0,708,0,0,CD8Tex,3.0066744286892493,32,1,6,CD8Tex,CD8Tex,CD8Tex,0
W542438_GSM3496291_AB2095_Tumo,0,1168.0,600,0,0,CD8Tex,3.0066744286892493,6,1,14,CD8Tex,CD8Tex,CD8Tex,0
WMC329905_GSM3496441_AB4234_Tu,0,3792.0,1469,5,5,Mono/Macro,3.5403363819401705,156,1,26,Mono/Macro,Mono/Macro,M1,0
W688757_GSM3496318_AB2504_Tumo,0,1739.0,659,0,0,CD8Tex,3.0066744286892493,33,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC0107131_GSM3496381_AB3274_T,0,2477.0,723,3,3,CD4Tconv,1.0945560605446019,96,1,27,CD4Tconv,CD4Tconv,CD4Tnaive,0
W843548_GSM3496360_AB2915_Tumo,0,1486.0,653,6,6,CD8Tex,3.0350785138802134,75,1,12,CD8Tex,CD8Tex,CD8Tex,0
WMC785322_GSM3496483_AB5429_PB,0,2224.0,570,3,3,CD4Tconv,1.0945560605446019,198,0,9,CD4Tconv,CD4Tconv,CD4Tnaive,0
W693558_GSM3496331_AB2517_Tumo,0,2198.0,807,7,7,Mono/Macro,4.5137206227938425,46,1,24,Mono/Macro,Mono/Macro,Monocyte,0
WMC135264_GSM3496392_AB3718_Tu,0,1522.0,534,3,3,CD4Tconv,1.0945560605446019,107,1,15,CD4Tconv,CD4Tconv,CD4Tnaive,0
W694356_GSM3496333_AB2519_Tumo,0,1121.0,519,6,6,CD8Tex,3.0350785138802134,48,1,24,CD8Tex,CD8Tex,CD8Tex,0
W703583_GSM3496338_AB2543_Tumo,0,3710.0,1257,9,9,TMKI67,2.1419943291597425,53,1,3,TMKI67,TMKI67,TMKI67,0
WMC0109099_GSM3496386_AB3279_T,0,1406.0,539,0,0,CD8Tex,3.0066744286892493,101,1,13,CD8Tex,CD8Tex,CD8Tex,0
WMC331533_GSM3496445_AB4238_Tu,0,3902.0,1458,5,5,Mono/Macro,3.5403363819401705,160,1,26,Mono/Macro,Mono/Macro,M1,0
WMC785023_GSM3496482_AB5428_PB,0,2604.0,524,4,4,Mono/Macro,5.045165456293893,197,0,9,Mono/Macro,Mono/Macro,Monocyte,0
WMC293105_GSM3496430_AB4138_Tu,0,3532.0,1498,20,20,TMKI67,2.162243283700641,145,1,17,TMKI67,TMKI67,TMKI67,0
WMC287410_GSM3496416_AB4124_Tu,0,2161.0,886,8,8,CD8Tex,2.3728707457939557,131,1,25,CD8Tex,CD8Tex,CD8Tex,0
W842367_GSM3496357_AB2912_Tumo,0,3911.0,1290,10,10,TMKI67,3.9990709402858386,72,1,28,TMKI67,TMKI67,TMKI67,0
WMC695143_GSM3496472_AB5194_Tu,0,2933.0,583,14,14,CD8T,1.0823108009977958,187,1,23,CD8T,CD8Tex,CD8Tex,0
WMC0038629_GSM3496380_AB3096_T,0,1549.0,723,0,0,CD8Tex,3.0066744286892493,95,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC149330_GSM3496396_AB3755_Tu,0,3538.0,1144,17,17,Fibroblasts,0.911109777825356,111,1,16,Fibroblasts,Fibroblasts,Fibroblasts,1
W690941_GSM3496324_AB2510_Tumo,0,1670.0,700,1,1,CD8Tex,4.089338694095589,39,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC250545_GSM3496408_AB4028_Tu,0,1333.0,510,0,0,CD8Tex,3.0066744286892493,123,1,18,CD8Tex,CD8Tex,CD8Tex,0
WMC0031647_GSM3496368_AB3078_T,0,1299.0,655,1,1,CD8Tex,4.089338694095589,83,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC626425_GSM3496463_AB5015_Tu,0,2090.0,761,1,1,CD8Tex,4.089338694095589,178,1,22,CD8Tex,CD8Tex,CD8Tex,0
W463001_GSM3496286_AB1890_Tumo,0,2437.0,1149,1,1,CD8Tex,4.089338694095589,1,1,14,CD8Tex,CD8Tex,CD8Tex,0
WMC290985_GSM3496425_AB4133_Tu,0,3603.0,1083,7,7,Mono/Macro,4.5137206227938425,140,1,25,Mono/Macro,Mono/Macro,Monocyte,0
WMC286568_GSM3496413_AB4121_Tu,0,1717.0,772,8,8,CD8Tex,2.3728707457939557,128,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC0032305_GSM3496369_AB3079_T,0,21141.0,2247,12,12,Plasma,2.8827375079550275,84,1,29,Plasma,Plasma,Plasma,0
W546997_GSM3496303_AB2107_Tumo,0,3385.0,1106,11,11,pDC,2.9395231999772227,18,1,2,pDC,DC,DC,0
W702763_GSM3496336_AB2541_Tumo,0,3005.0,1197,6,6,CD8Tex,3.0350785138802134,51,1,4,CD8Tex,CD8Tex,CD8Tex,0
W689427_GSM3496320_AB2506_Tumo,0,1777.0,687,0,0,CD8Tex,3.0066744286892493,35,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC0036152_GSM3496373_AB3089_T,0,9175.0,2882,10,10,TMKI67,3.9990709402858386,88,1,29,TMKI67,TMKI67,TMKI67,0
WMC328869_GSM3496439_AB4232_Tu,0,2634.0,953,11,11,pDC,2.9395231999772227,154,1,26,pDC,DC,DC,0
WMC149513_GSM3496396_AB3755_Tu,0,3710.0,1314,17,17,Fibroblasts,0.911109777825356,111,1,16,Fibroblasts,Fibroblasts,Fibroblasts,1
WMC0110386_GSM3496390_AB3283_T,0,2596.0,688,10,10,TMKI67,3.9990709402858386,105,1,13,TMKI67,TMKI67,TMKI67,0
W692589_GSM3496328_AB2514_Tumo,0,2190.0,818,1,1,CD8Tex,4.089338694095589,43,1,24,CD8Tex,CD8Tex,CD8Tex,0
W842054_GSM3496356_AB2911_Tumo,0,1996.0,678,7,7,Mono/Macro,4.5137206227938425,71,1,28,Mono/Macro,Mono/Macro,Monocyte,0
WMC331895_GSM3496446_AB4239_Tu,0,4402.0,1553,5,5,Mono/Macro,3.5403363819401705,161,1,26,Mono/Macro,Mono/Macro,M1,0
WMC149458_GSM3496396_AB3755_Tu,0,5702.0,1704,17,17,Fibroblasts,0.911109777825356,111,1,16,Fibroblasts,Fibroblasts,Fibroblasts,1
WMC294416_GSM3496434_AB4142_Tu,0,3473.0,756,15,15,Plasma,2.2459200087458866,149,1,17,Plasma,Plasma,Plasma,0
WMC286934_GSM3496414_AB4122_Tu,0,1595.0,635,0,0,CD8Tex,3.0066744286892493,129,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC0037269_GSM3496376_AB3092_T,0,2175.0,732,2,2,B,4.4137903050582095,91,1,29,B,B,B,0
W684885_GSM3496308_AB2494_Tumo,0,2345.0,690,2,2,B,4.4137903050582095,23,1,6,B,B,B,0
WMC251449_GSM3496410_AB4030_Tu,0,1857.0,679,2,2,B,4.4137903050582095,125,1,18,B,B,B,0
WMC290041_GSM3496422_AB4130_Tu,0,1891.0,690,0,0,CD8Tex,3.0066744286892493,137,1,25,CD8Tex,CD8Tex,CD8Tex,0
W689724_GSM3496321_AB2507_Tumo,0,2023.0,873,6,6,CD8Tex,3.0350785138802134,36,1,24,CD8Tex,CD8Tex,CD8Tex,0
W690371_GSM3496322_AB2508_Tumo,0,1623.0,774,1,1,CD8Tex,4.089338694095589,37,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC288219_GSM3496418_AB4126_Tu,0,2106.0,582,2,2,B,4.4137903050582095,133,1,25,B,B,B,0
W693314_GSM3496330_AB2516_Tumo,0,1302.0,501,3,3,CD4Tconv,1.0945560605446019,45,1,24,CD4Tconv,CD4Tconv,CD4Tnaive,0
W839679_GSM3496350_AB2905_Tumo,0,1410.0,588,3,3,CD4Tconv,1.0945560605446019,65,1,8,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC623679_GSM3496456_AB5008_Tu,0,1391.0,649,9,9,TMKI67,2.1419943291597425,171,1,22,TMKI67,TMKI67,TMKI67,0
W685821_GSM3496310_AB2496_Tumo,0,1476.0,536,2,2,B,4.4137903050582095,25,1,6,B,B,B,0
WMC624718_GSM3496459_AB5011_Tu,0,8895.0,2666,10,10,TMKI67,3.9990709402858386,174,1,22,TMKI67,TMKI67,TMKI67,0
W688738_GSM3496318_AB2504_Tumo,0,2520.0,1032,1,1,CD8Tex,4.089338694095589,33,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC329948_GSM3496441_AB4234_Tu,0,1235.0,623,5,5,Mono/Macro,3.5403363819401705,156,1,26,Mono/Macro,Mono/Macro,M1,0
WMC694656_GSM3496471_AB5193_Tu,0,1460.0,507,0,0,CD8Tex,3.0066744286892493,186,1,23,CD8Tex,CD8Tex,CD8Tex,0
W691123_GSM3496324_AB2510_Tumo,0,1689.0,551,4,4,Mono/Macro,5.045165456293893,39,1,24,Mono/Macro,Mono/Macro,Monocyte,0
W714044_GSM3496341_AB2570_Tumo,0,1285.0,629,14,14,CD8T,1.0823108009977958,56,1,4,CD8T,CD8Tex,CD8Tex,0
WMC379650_GSM3496452_AB4364_PB,0,2218.0,735,4,4,Mono/Macro,5.045165456293893,167,0,5,Mono/Macro,Mono/Macro,Monocyte,0
WMC0108410_GSM3496385_AB3278_T,0,7944.0,1857,11,11,pDC,2.9395231999772227,100,1,13,pDC,DC,DC,0
WMC293703_GSM3496432_AB4140_Tu,0,3623.0,1416,20,20,TMKI67,2.162243283700641,147,1,17,TMKI67,TMKI67,TMKI67,0
WMC295065_GSM3496435_AB4143_Tu,0,1596.0,600,1,1,CD8Tex,4.089338694095589,150,1,17,CD8Tex,CD8Tex,CD8Tex,0
WMC329369_GSM3496440_AB4233_Tu,0,1441.0,661,5,5,Mono/Macro,3.5403363819401705,155,1,26,Mono/Macro,Mono/Macro,M1,0
WMC624533_GSM3496458_AB5010_Tu,0,5058.0,1558,9,9,TMKI67,2.1419943291597425,173,1,22,TMKI67,TMKI67,TMKI67,0
W692283_GSM3496327_AB2513_Tumo,0,1467.0,695,6,6,CD8Tex,3.0350785138802134,42,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC808650_GSM3496484_AB5490_PB,0,2069.0,612,9,9,TMKI67,2.1419943291597425,199,0,21,TMKI67,TMKI67,TMKI67,0
W462811_GSM3496286_AB1890_Tumo,0,1136.0,557,0,0,CD8Tex,3.0066744286892493,1,1,14,CD8Tex,CD8Tex,CD8Tex,0
WMC329282_GSM3496440_AB4233_Tu,0,2713.0,1031,5,5,Mono/Macro,3.5403363819401705,155,1,26,Mono/Macro,Mono/Macro,M1,0
WMC294535_GSM3496434_AB4142_Tu,0,1584.0,507,7,7,Mono/Macro,4.5137206227938425,149,1,17,Mono/Macro,Mono/Macro,Monocyte,0
WMC288866_GSM3496419_AB4127_Tu,0,3019.0,879,2,2,B,4.4137903050582095,134,1,25,B,B,B,0
WMC135180_GSM3496392_AB3718_Tu,0,3133.0,823,3,3,CD4Tconv,1.0945560605446019,107,1,15,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC624611_GSM3496459_AB5011_Tu,0,1656.0,721,1,1,CD8Tex,4.089338694095589,174,1,22,CD8Tex,CD8Tex,CD8Tex,0
W839809_GSM3496350_AB2905_Tumo,0,1583.0,570,3,3,CD4Tconv,1.0945560605446019,65,1,8,CD4Tconv,CD4Tconv,CD4Tnaive,0
W544339_GSM3496296_AB2100_Tumo,0,1384.0,734,0,0,CD8Tex,3.0066744286892493,11,1,2,CD8Tex,CD8Tex,CD8Tex,0
WMC294472_GSM3496434_AB4142_Tu,0,1460.0,695,2,2,B,4.4137903050582095,149,1,17,B,B,B,0
WMC289787_GSM3496422_AB4130_Tu,0,1095.0,508,8,8,CD8Tex,2.3728707457939557,137,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC626030_GSM3496462_AB5014_Tu,0,1295.0,500,3,3,CD4Tconv,1.0945560605446019,177,1,22,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC627220_GSM3496465_AB5017_Tu,0,1568.0,572,4,4,Mono/Macro,5.045165456293893,180,1,22,Mono/Macro,Mono/Macro,Monocyte,0
WMC219007_GSM3496397_AB3937_Tu,0,9589.0,2463,16,16,Fibroblasts,0.5163241565316956,112,1,19,Fibroblasts,Fibroblasts,Fibroblasts,1
WMC291925_GSM3496427_AB4135_Tu,0,1635.0,761,6,6,CD8Tex,3.0350785138802134,142,1,17,CD8Tex,CD8Tex,CD8Tex,0
WMC289641_GSM3496421_AB4129_Tu,0,1310.0,500,3,3,CD4Tconv,1.0945560605446019,136,1,25,CD4Tconv,CD4Tconv,CD4Tnaive,0
W839308_GSM3496349_AB2904_Tumo,0,1656.0,529,3,3,CD4Tconv,1.0945560605446019,64,1,8,CD4Tconv,CD4Tconv,CD4Tnaive,0
W872042_GSM3496366_AB2989_Tumo,0,3536.0,1314,11,11,pDC,2.9395231999772227,81,1,12,pDC,DC,DC,0
WMC138250_GSM3496395_AB3726_Tu,0,9048.0,2024,18,18,Mono/Macro,1.7507389384025052,110,1,16,Mono/Macro,Mono/Macro,Monocyte,0
W687367_GSM3496314_AB2500_Tumo,0,2243.0,704,2,2,B,4.4137903050582095,29,1,6,B,B,B,0
W684294_GSM3496306_AB2492_Tumo,0,1297.0,574,1,1,CD8Tex,4.089338694095589,21,1,6,CD8Tex,CD8Tex,CD8Tex,0
W684195_GSM3496306_AB2492_Tumo,0,1303.0,539,0,0,CD8Tex,3.0066744286892493,21,1,6,CD8Tex,CD8Tex,CD8Tex,0
WMC252280_GSM3496412_AB4032_Tu,0,2609.0,863,13,13,B,1.9443252866230427,127,1,18,B,pDC,pDC,0
W841681_GSM3496355_AB2910_Tumo,0,6743.0,1941,7,7,Mono/Macro,4.5137206227938425,70,1,28,Mono/Macro,Mono/Macro,Monocyte,0
WMC0036811_GSM3496375_AB3091_T,0,2113.0,939,13,13,B,1.9443252866230427,90,1,29,B,pDC,pDC,0
WMC0032078_GSM3496369_AB3079_T,0,1949.0,719,7,7,Mono/Macro,4.5137206227938425,84,1,29,Mono/Macro,Mono/Macro,Monocyte,0
WMC329566_GSM3496440_AB4233_Tu,0,1933.0,835,5,5,Mono/Macro,3.5403363819401705,155,1,26,Mono/Macro,Mono/Macro,M1,0
W838950_GSM3496348_AB2903_Tumo,0,1684.0,525,0,0,CD8Tex,3.0066744286892493,63,1,7,CD8Tex,CD8Tex,CD8Tex,0
WMC331759_GSM3496446_AB4239_Tu,0,2117.0,1009,5,5,Mono/Macro,3.5403363819401705,161,1,26,Mono/Macro,Mono/Macro,M1,0
W690327_GSM3496322_AB2508_Tumo,0,1597.0,687,8,8,CD8Tex,2.3728707457939557,37,1,24,CD8Tex,CD8Tex,CD8Tex,0
W691834_GSM3496326_AB2512_Tumo,0,2650.0,899,3,3,CD4Tconv,1.0945560605446019,41,1,24,CD4Tconv,CD4Tconv,CD4Tnaive,0
W844525_GSM3496363_AB2918_Tumo,0,1599.0,606,6,6,CD8Tex,3.0350785138802134,78,1,12,CD8Tex,CD8Tex,CD8Tex,0
W872047_GSM3496366_AB2989_Tumo,0,4329.0,1261,11,11,pDC,2.9395231999772227,81,1,12,pDC,DC,DC,0
WMC624630_GSM3496459_AB5011_Tu,0,3246.0,1178,9,9,TMKI67,2.1419943291597425,174,1,22,TMKI67,TMKI67,TMKI67,0
WMC331350_GSM3496445_AB4238_Tu,0,3981.0,1528,5,5,Mono/Macro,3.5403363819401705,160,1,26,Mono/Macro,Mono/Macro,M1,0
WMC626589_GSM3496464_AB5016_Tu,0,3388.0,1144,10,10,TMKI67,3.9990709402858386,179,1,22,TMKI67,TMKI67,TMKI67,0
WMC625854_GSM3496462_AB5014_Tu,0,3032.0,1104,13,13,B,1.9443252866230427,177,1,22,B,pDC,pDC,0
W685500_GSM3496310_AB2496_Tumo,0,1978.0,752,2,2,B,4.4137903050582095,25,1,6,B,B,B,0
W703125_GSM3496337_AB2542_Tumo,0,1787.0,741,1,1,CD8Tex,4.089338694095589,52,1,4,CD8Tex,CD8Tex,CD8Tex,0
W543093_GSM3496293_AB2097_Tumo,0,1023.0,633,1,1,CD8Tex,4.089338694095589,8,1,14,CD8Tex,CD8Tex,CD8Tex,0
WMC290397_GSM3496423_AB4131_Tu,0,1830.0,645,0,0,CD8Tex,3.0066744286892493,138,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC219094_GSM3496398_AB3938_Tu,0,5420.0,1598,16,16,Fibroblasts,0.5163241565316956,113,1,19,Fibroblasts,Fibroblasts,Fibroblasts,1
WMC138209_GSM3496395_AB3726_Tu,0,1511.0,775,4,4,Mono/Macro,5.045165456293893,110,1,16,Mono/Macro,Mono/Macro,Monocyte,0
WMC627537_GSM3496466_AB5018_Tu,0,1900.0,677,2,2,B,4.4137903050582095,181,1,22,B,B,B,0
WMC138234_GSM3496395_AB3726_Tu,0,7033.0,1553,18,18,Mono/Macro,1.7507389384025052,110,1,16,Mono/Macro,Mono/Macro,Monocyte,0
WMC0031831_GSM3496368_AB3078_T,0,1485.0,612,3,3,CD4Tconv,1.0945560605446019,83,1,29,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC0034675_GSM3496370_AB3086_T,0,4545.0,1384,9,9,TMKI67,2.1419943291597425,85,1,29,TMKI67,TMKI67,TMKI67,0
WMC0038604_GSM3496380_AB3096_T,0,1519.0,725,8,8,CD8Tex,2.3728707457939557,95,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC220394_GSM3496401_AB3941_Tu,0,1184.0,529,0,0,CD8Tex,3.0066744286892493,116,1,20,CD8Tex,CD8Tex,CD8Tex,0
WMC222113_GSM3496406_AB3946_Tu,0,2569.0,981,7,7,Mono/Macro,4.5137206227938425,121,1,1,Mono/Macro,Mono/Macro,Monocyte,0
WMC218772_GSM3496397_AB3937_Tu,0,3707.0,1045,16,16,Fibroblasts,0.5163241565316956,112,1,19,Fibroblasts,Fibroblasts,Fibroblasts,1
WMC331907_GSM3496446_AB4239_Tu,0,2108.0,808,5,5,Mono/Macro,3.5403363819401705,161,1,26,Mono/Macro,Mono/Macro,M1,0
WMC135114_GSM3496392_AB3718_Tu,0,4810.0,1253,11,11,pDC,2.9395231999772227,107,1,15,pDC,DC,DC,0
W690148_GSM3496322_AB2508_Tumo,0,2352.0,921,5,5,Mono/Macro,3.5403363819401705,37,1,24,Mono/Macro,Mono/Macro,M1,0
W839874_GSM3496351_AB2906_Tumo,0,2170.0,770,0,0,CD8Tex,3.0066744286892493,66,1,28,CD8Tex,CD8Tex,CD8Tex,0
W841845_GSM3496356_AB2911_Tumo,0,1646.0,707,7,7,Mono/Macro,4.5137206227938425,71,1,28,Mono/Macro,Mono/Macro,Monocyte,0
W544251_GSM3496296_AB2100_Tumo,0,1033.0,561,1,1,CD8Tex,4.089338694095589,11,1,2,CD8Tex,CD8Tex,CD8Tex,0
WMC0108431_GSM3496385_AB3278_T,0,1772.0,748,0,0,CD8Tex,3.0066744286892493,100,1,13,CD8Tex,CD8Tex,CD8Tex,0
W844366_GSM3496362_AB2917_Tumo,0,2122.0,630,0,0,CD8Tex,3.0066744286892493,77,1,12,CD8Tex,CD8Tex,CD8Tex,0
W685565_GSM3496310_AB2496_Tumo,0,2092.0,614,2,2,B,4.4137903050582095,25,1,6,B,B,B,0
W546216_GSM3496301_AB2105_Tumo,0,2754.0,994,0,0,CD8Tex,3.0066744286892493,16,1,14,CD8Tex,CD8Tex,CD8Tex,0
WMC810308_GSM3496488_AB5494_PB,0,3624.0,1027,4,4,Mono/Macro,5.045165456293893,203,0,21,Mono/Macro,Mono/Macro,Monocyte,0
WMC0036249_GSM3496374_AB3090_T,0,4886.0,1818,2,2,B,4.4137903050582095,89,1,29,B,B,B,0
WMC379393_GSM3496451_AB4363_PB,0,1574.0,514,4,4,Mono/Macro,5.045165456293893,166,0,5,Mono/Macro,Mono/Macro,Monocyte,0
W838298_GSM3496347_AB2902_Tumo,0,2813.0,965,0,0,CD8Tex,3.0066744286892493,62,1,11,CD8Tex,CD8Tex,CD8Tex,0
WMC290109_GSM3496423_AB4131_Tu,0,5340.0,1441,10,10,TMKI67,3.9990709402858386,138,1,25,TMKI67,TMKI67,TMKI67,0
W545126_GSM3496298_AB2102_Tumo,0,2139.0,829,3,3,CD4Tconv,1.0945560605446019,13,1,2,CD4Tconv,CD4Tconv,CD4Tnaive,0
W691012_GSM3496324_AB2510_Tumo,0,2744.0,770,4,4,Mono/Macro,5.045165456293893,39,1,24,Mono/Macro,Mono/Macro,Monocyte,0
W687039_GSM3496314_AB2500_Tumo,0,11096.0,1324,12,12,Plasma,2.8827375079550275,29,1,6,Plasma,Plasma,Plasma,0
WMC0037379_GSM3496377_AB3093_T,0,13913.0,2999,20,20,TMKI67,2.162243283700641,92,1,29,TMKI67,TMKI67,TMKI67,0
WMC0032191_GSM3496369_AB3079_T,0,2702.0,977,7,7,Mono/Macro,4.5137206227938425,84,1,29,Mono/Macro,Mono/Macro,Monocyte,0
W707697_GSM3496340_AB2553_Tumo,0,3988.0,1233,7,7,Mono/Macro,4.5137206227938425,55,1,4,Mono/Macro,Mono/Macro,Monocyte,0
WMC0035798_GSM3496372_AB3088_T,0,1553.0,673,8,8,CD8Tex,2.3728707457939557,87,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC149390_GSM3496396_AB3755_Tu,0,8654.0,2500,17,17,Fibroblasts,0.911109777825356,111,1,16,Fibroblasts,Fibroblasts,Fibroblasts,1
W707586_GSM3496340_AB2553_Tumo,0,7739.0,2554,21,21,TMKI67,2.3644963168592144,55,1,4,TMKI67,Mono/Macro,M1,0
W543994_GSM3496295_AB2099_Tumo,0,1508.0,737,2,2,B,4.4137903050582095,10,1,2,B,B,B,0
WMC0038572_GSM3496380_AB3096_T,0,1220.0,677,1,1,CD8Tex,4.089338694095589,95,1,29,CD8Tex,CD8Tex,CD8Tex,0
W840191_GSM3496351_AB2906_Tumo,0,1621.0,677,9,9,TMKI67,2.1419943291597425,66,1,28,TMKI67,TMKI67,TMKI67,0
WMC0036846_GSM3496375_AB3091_T,0,1397.0,678,13,13,B,1.9443252866230427,90,1,29,B,pDC,pDC,0
