,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.1,seurat_clusters,assign.ident,assign.score,Amp_batch,source,patient,assign.CIBERSORT,assign.curated,assign.level3_anno,assign.level1_anno
W689436_GSM3496320_AB2506_Tumo,0,5139.0,1750,6,6,CD8Tex,3.0350785138802134,35,1,24,CD8Tex,CD8Tex,CD8Tex,0
W461970_GSM3496285_AB1889_Tumo,0,1202.0,577,1,1,CD8Tex,4.089338694095589,0,1,14,CD8Tex,CD8Tex,CD8Tex,0
W543740_GSM3496294_AB2098_Tumo,0,5197.0,1278,15,15,Plasma,2.2459200087458866,9,1,2,Plasma,Plasma,Plasma,0
WMC809550_GSM3496486_AB5492_PB,0,3387.0,796,3,3,CD4Tconv,1.0945560605446019,201,0,21,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC288179_GSM3496418_AB4126_Tu,0,2286.0,797,8,8,CD8Tex,2.3728707457939557,133,1,25,CD8Tex,CD8Tex,CD8Tex,0
W689380_GSM3496320_AB2506_Tumo,0,2225.0,844,0,0,CD8Tex,3.0066744286892493,35,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC331264_GSM3496445_AB4238_Tu,0,4209.0,1478,5,5,Mono/Macro,3.5403363819401705,160,1,26,Mono/Macro,Mono/Macro,M1,0
W464588_GSM3496288_AB1892_Tumo,0,1130.0,637,4,4,Mono/Macro,5.045165456293893,3,1,14,Mono/Macro,Mono/Macro,Monocyte,0
W707508_GSM3496340_AB2553_Tumo,0,2507.0,953,4,4,Mono/Macro,5.045165456293893,55,1,4,Mono/Macro,Mono/Macro,Monocyte,0
W542909_GSM3496292_AB2096_Tumo,0,1787.0,757,2,2,B,4.4137903050582095,7,1,14,B,B,B,0
W840979_GSM3496354_AB2909_Tumo,0,6849.0,992,15,15,Plasma,2.2459200087458866,69,1,28,Plasma,Plasma,Plasma,0
WMC294297_GSM3496433_AB4141_Tu,0,1543.0,658,2,2,B,4.4137903050582095,148,1,17,B,B,B,0
WMC626408_GSM3496463_AB5015_Tu,0,3302.0,1230,4,4,Mono/Macro,5.045165456293893,178,1,22,Mono/Macro,Mono/Macro,Monocyte,0
W842257_GSM3496357_AB2912_Tumo,0,1400.0,542,6,6,CD8Tex,3.0350785138802134,72,1,28,CD8Tex,CD8Tex,CD8Tex,0
WMC329449_GSM3496440_AB4233_Tu,0,2135.0,978,5,5,Mono/Macro,3.5403363819401705,155,1,26,Mono/Macro,Mono/Macro,M1,0
WMC294699_GSM3496435_AB4143_Tu,0,12894.0,2941,10,10,TMKI67,3.9990709402858386,150,1,17,TMKI67,TMKI67,TMKI67,0
